Airport Code,Companyia aèria,Destinació,Estat,Info,Porta,Sortida,Terminal,Vol
BRU,ITA AirwaysEtihad AirwaysAir EuropaKLMLOT - Polish AirlinesBrussels AirlinesChina Eastern AirlinesCroatia AirlinesKorean AirTAP Air PortugalAerolineas ArgentinasAeromexicoTurkish AirlinesChina AirlinesAir France,Roma (FCO),aterrat,,11,15:25,,AZ 1726EY 3015UX 3206KL 3454LO 4008SN 4144MU 4453OU 5337KE 5604TP 7199AR 7257AM 8216TK 8216CI 9470AF 9824
BRU,Ryanair,Bolonya (BLQ),aterrat,,3,15:30,,FR1086
BRU,ITA AirwaysKLM,Milà (LIN),aterrat,,9,15:35,,AZ 1704KL 3478
BRU,Ryanair,Roma (FCO),aterrat,,3,15:50,,FR4930
BRU,Ryanair,Milà (MXP),aterrat,,3,15:55,,FR1071
BRU,Ryanair,Bari (BRI),aterrat,,3,16:00,,FR6190
BRU,ITA AirwaysEtihad AirwaysKLMSWISSEthiopian AirlinesLufthansaKorean AirAerolineas ArgentinasTAP Air PortugalAeromexicoTurkish AirlinesAir France,Roma (FCO),aterrat,,11,16:30,,AZ 1754EY 2889KL 3216LX 3423ET 4083LH 5085KE 5606AR 7102TP 7123AM 8224TK 8262AF 9864
BRU,easyJet,Londres (LGW),aterrat,,30,16:30,,U28288
BRU,Ryanair,Palerm (PMO),aterrat,,,16:30,,FR
BRU,Eurowings,Stuttgart (STR),aterrat,,,16:30,,EW6903
BRU,Ryanair,Gudja (MLA),aterrat,,3,16:35,,FR396
BRU,Ryanair,Venècia (VCE),aterrat,,3,16:40,,FR899
BRU,LufthansaAlitalia,Frankfurt del Main (FRA),aterrat,,12,16:45,,LH 309AZ 7274
BRU,Wizz Air,Memmingen (FMM),aterrat,,101,16:50,,W66517
BRU,KLMSAS,Amsterdam (AMS),aterrat,,105,16:55,,KL 1672SK 6847
BRU,Ryanair,Palerm (PMO),aterrat,,,17:05,,FR
BRU,Ryanair,Pisa (PSA),aterrat,,3,17:15,,FR6205
BRU,Eurowings,Düsseldorf (DUS),aterrat,,18,17:30,,EW9815
BRU,Ryanair,Roma (FCO),aterrat,,3,17:30,,FR4871
BRU,Heston Airlines,Copenhaguen (CPH),aterrat,,15,17:45,,HN3745
BRU,Wizz Air,Milà (MXP),aterrat,,103,17:50,,W66466
BRU,Air Baltic,Riga (RIX),aterrat,,37,17:55,,BT640
BRU,Ryanair,Pescara (PSR),aterrat,,3,18:00,,FR1628
BRU,Lauda Europe,Viena (VIE),aterrat,,3,18:15,,LW6195
BRU,Brussels Airlines,Brusel·les (BRU),aterrat,,46,18:20,,SN3132
BRU,ITA AirwaysAir France,Milà (LIN),aterrat,,12,18:25,,AZ 1720AF 9817
BRU,Ryanair,Tirana (TIA),aterrat,,3,18:30,,FR8435
BRU,Volotea,Verona (VRN),aterrat,,105,18:30,,V71744
BRU,LufthansaAlitalia,Munic (MUC),aterrat,,8,18:35,,LH 1909AZ 7278
BRU,Ryanair,Bolonya (BLQ),aterrat,,3,18:50,,FR740
BRU,Eurowings,Colònia (CGN),aterrat,,10,18:50,,EW817
BRU,Norwegian,Oslo (OSL),en rutaretardat,,101,18:5518:59,,DY1851
BRU,Ryanair,Roma (FCO),aterrat,,3,19:15,,FR1171
BRU,ITA AirwaysEtihad AirwaysEthiopian AirlinesEmiratesAustrianAeromexico,Roma (FCO),aterrat,,11,19:15,,AZ 1712EY 2834ET 4008EK 4208OS 6632AM 8220
BRU,Aeroitalia,Roma (FCO),aterrat,,40,19:25,,XZ2816
BRU,FlexFlight,Roma (FCO),aterrat,,,19:25,,W28551
BRU,Ryanair,Londres (LTN),en rutaretardat,,3,19:2519:57,,FR4720
BRU,Ryanair,Roma (FCO),aterrat,,3,19:45,,FR4855
BRU,IberiaLATAM AirlinesVueling,Madrid (MAD),en rutaretardat,,15,19:4519:59,,IB 696LA 1644VY 5397
BRU,Ryanair,Londres (STN),en rutaretardat,,3,19:5520:11,,FR5058
BRU,TransaviaKLM,Amsterdam (AMS),en rutaretardat,,103,20:0020:02,,HV 5218KL 2568
BRU,ITA Airways,Milà (LIN),en rutaretardat,,9,20:3020:41,,AZ1702
BRU,easyJet,Mülhausen (BSL),en rutaretardat,,,20:3520:51,,U21118
BRU,Ryanair,Sevilla (SVQ),en ruta,,3,20:40,,FR5349
BRU,Jet2,Birmingham (BHX),en rutaretardat,,37,20:5021:49,,LS1388
BRU,Eurowings,Stuttgart (STR),en rutaretardat,,8,20:5521:10,,EW2817
BRU,ITA AirwaysEthiopian AirlinesAeromexico,Roma (FCO),aterrat,,11,21:00,,AZ 1752ET 4032AM 8218
BRU,easyJet,Lió (LYS),en rutaretardat,,105,21:0521:15,,U24406
BRU,Ryanair,Trieste (TRS),en rutaretardat,,3,21:1021:13,,FR2707
